택배영업_지점코드,관리회계_지점코드,최종변경일시,ETL일시
ANDOCHT,QDYKE,55:19.0,30:28.3
ANSOCHT,ASNKE,55:19.0,30:28.3
BAEKE,BAEKE,55:19.0,30:28.3
BUCOCHT,BCNKE,55:19.0,30:28.3
BUEOCHT,PUEKE,55:19.0,30:28.3
BUGOCHT,GUNKE,55:19.0,30:28.3
BUKOCHT,TAEKE,55:19.0,30:28.3
BUPOCHT,BUPKE,55:19.0,30:28.3
BUSOCHT,PUSKE,55:19.0,30:28.3
BUWOCHT,PUWKE,55:19.0,30:28.3
CHAOCHT,CHWKE,55:19.0,30:28.3
CHEOCHT,JNJKE,55:19.0,30:28.3
CHGOCHT,COJKE,55:19.0,30:28.3
CHNOCHT,CHOKE,55:19.0,30:28.3
CHUOCHT,QUNKE,55:19.0,30:28.3
DDGOCHT,ETAKE,55:19.0,30:28.3
DDMOCHT,DDMKE,55:19.0,30:28.3
GANOCHT,KAGKE,55:19.0,30:28.3
GLEOCHT,SELGDE,55:19.0,30:28.3
HANOCHT,HNMKE,55:19.0,30:28.3
HJTOCHT,SELESA,55:19.0,30:28.3
ICHOCHT,ICEKE,06:04.0,30:28.3
ILSOCHT,ILSKE,55:19.0,30:28.3
INCOCHT,JCNKE,55:19.0,30:28.3
JEJOCHT,CJUKE,55:19.0,30:28.3
JINOCHT,HINKE,55:19.0,30:28.3
KANOCHT,SONKE,55:19.0,30:28.3
KBKOCHT,KBKKE,55:19.0,30:28.3
KSOOCHT,GNOKE,55:19.0,30:28.3
KUMOCHT,KUMKE,55:19.0,30:28.3
KUROCHT,GURKE,55:19.0,30:28.3
KWAOCHT,KWJKE,55:19.0,30:28.3
MAPOCHT,MAPKE,55:19.0,30:28.3
MOKOCHT,MPKKE,55:19.0,30:28.3
NYJKE,NYJKE,55:19.0,30:28.3
POHOCHT,KPOKE,55:19.0,30:28.3
PUNOCHT,PUNKE,55:19.0,30:28.3
PYNOCHT,PIKKE,55:19.0,30:28.3
SEOOCHT,HMYKE,55:19.0,30:28.3
SUNOCHT,SYSKE,55:19.0,30:28.3
SUWCHT,SWUKE,55:19.0,30:28.3
TAEOCHT,TAEKE,55:19.0,30:28.3
TJNOCHT,QTWKE,55:19.0,30:28.3
ULSOCHT,USNKE,55:19.0,30:28.3
WONOCHT,WJUKE,55:19.0,30:28.3
YAJOCHT,YAJKE,55:19.0,30:28.3
YANOCHT,YSNKE,55:19.0,30:28.3
YONOCHT,YNGKE,55:19.0,30:28.3
