Industry,Activities_Type,Activity_Seq,Activities,Activities_Kor,Master,Master_Kor,ColumnList,System
물류-택배,Primary,1,Marketing & Sales,마케팅&영업,채널/캠페인,,,CRM
물류-택배,Primary,1,Marketing & Sales,마케팅&영업,영업마스터,,,CRM
물류-택배,Primary,1,Marketing & Sales,마케팅&영업,계약,,,CRM
물류-택배,Primary,1,Marketing & Sales,마케팅&영업,프로모션,,,CRM
물류-택배,Primary,2,Inbound Logistics,집하,집하영업소,,,TMS
물류-택배,Primary,2,Inbound Logistics,집하,집하점,,,TMS
물류-택배,Primary,2,Inbound Logistics,집하,B2C고객,,,TMS
물류-택배,Primary,2,Inbound Logistics,집하,B2B고객,,,TMS
물류-택배,Primary,2,Inbound Logistics,집하,OneClick고객,,,TMS
물류-택배,Primary,2,Inbound Logistics,집하,기사,,,TMS
물류-택배,Primary,3,Operations,간선,상품분류,,,WMS
물류-택배,Primary,3,Operations,간선,허브,,,WMS
물류-택배,Primary,3,Operations,간선,서브,,,WMS
물류-택배,Primary,3,Operations,간선,조업,,,WMS
물류-택배,Primary,4,Outbound Logistics,배송,배송영업소,,,PDA/Mobile
물류-택배,Primary,4,Outbound Logistics,배송,배송점,,,PDA/Mobile
물류-택배,Primary,4,Outbound Logistics,배송,B2B배송고객,,,PDA/Mobile
물류-택배,Primary,4,Outbound Logistics,배송,B2C배송고객,,,PDA/Mobile
물류-택배,Primary,4,Outbound Logistics,배송,파트너배송,,,PDA/Mobile
물류-택배,Primary,4,Outbound Logistics,배송,기사/차량,,,PDA/Mobile
물류-택배,Primary,5,Services,사후관리,배송추적,,,VOC
물류-택배,Primary,5,Services,사후관리,CS,,,VOC
물류-택배,Primary,5,Services,사후관리,반품/파손/유실,,,VOC
물류-택배,Primary,5,Services,사후관리,보상,,,VOC
물류-택배,Support,6,Finance,재무,Profit Center,,,ERP
물류-택배,Support,6,Finance,재무,Coster Center,,,ERP
물류-택배,Support,6,Finance,재무,거래처,,,ERP
물류-택배,Support,6,Finance,재무,고객,,,ERP
물류-택배,Support,7,HR,인적자원관리,조직,,,HRIS
물류-택배,Support,7,HR,인적자원관리,인사,,,HRIS
물류-택배,Support,7,HR,인적자원관리,교육이력,,,HRIS
물류-택배,Support,7,HR,인적자원관리,급여,,,HRIS
물류-택배,Support,7,HR,인적자원관리,성과,,,HRIS
물류-택배,Support,8,Infrastructure,기업인프라,구매처,,,INFRA
물류-택배,Support,8,Infrastructure,기업인프라,자산,,,INFRA
물류-택배,Support,8,Infrastructure,기업인프라,거점,,,INFRA
물류-택배,Support,8,Infrastructure,기업인프라,간선차량,,,INFRA
test,Primary,1,MKT,마케팅,채널,채널명,"채널코드, 채널명, 생성일자",CRM
test,Primary,1,MKT,마케팅,캠페인,캠페인,"캠페인코드, 캠페인명, 시작일, 종료일자",SFA
test,Primary,1,MKT,마케팅,영업,영업,"거래처코드, 거래처명, 사업자번호, 물품코드, 판매금액",
test,Primary,1,MKT,마케팅,계약,계약,"계약코드, 계약명, 거래처코드, 계약금액, 시작일자, 종료일자",
test,Primary,1,MKT,마케팅,프로모션,프로모션,"프로모션ID, 프로모션명, 프로모션기간, 내용",
test,Primary,2,Sales1,영업_테스트,수주,수주,"수주번호, 거래처코드, 수주내용, 수주금액",
test,Primary,2,Sales1,영업_테스트,판매4,판매4,"판매번호, 거래처코드, 품명, 단가, 수량, 금액",
test,Primary,3,Services,서비스,서비스,서비스,"전표, 계정과목 ",
test,Primary,3,Services,서비스,서비스3,서비스3,"접수번호, 고객코드, 접수일자",
