Industry,Activities_Type,Activity_Seq,Activities,Master,Activities_Kor,Columns
물류-택배,Primary,1.0,Marketing & Sales,채널/캠페인,,
물류-택배,Primary,1.0,Marketing & Sales,영업마스터,,
물류-택배,Primary,1.0,Marketing & Sales,계약,,
물류-택배,Primary,1.0,Marketing & Sales,프로모션,,
물류-택배,Primary,2.0,Inbound Logistics,집하영업소,,
물류-택배,Primary,2.0,Inbound Logistics,집하점,,
물류-택배,Primary,2.0,Inbound Logistics,B2C고객,,
물류-택배,Primary,2.0,Inbound Logistics,B2B고객,,
물류-택배,Primary,2.0,Inbound Logistics,OneClick고객,,
물류-택배,Primary,2.0,Inbound Logistics,기사,,
물류-택배,Primary,3.0,Operations,상품분류,,
물류-택배,Primary,3.0,Operations,허브,,
물류-택배,Primary,3.0,Operations,서브,,
물류-택배,Primary,3.0,Operations,조업,,
물류-택배,Primary,4.0,Outbound Logistics,배송영업소,,
물류-택배,Primary,4.0,Outbound Logistics,배송점,,
물류-택배,Primary,4.0,Outbound Logistics,B2B배송고객,,
물류-택배,Primary,4.0,Outbound Logistics,B2C배송고객,,
물류-택배,Primary,4.0,Outbound Logistics,파트너배송,,
물류-택배,Primary,4.0,Outbound Logistics,기사/차량,,
물류-택배,Primary,5.0,Services,배송추적,,
물류-택배,Primary,5.0,Services,CS,,
물류-택배,Primary,5.0,Services,반품/파손/유실,,
물류-택배,Primary,5.0,Services,보상,,
물류-택배,Support,6.0,Finance,Profit Center,,
물류-택배,Support,6.0,Finance,Coster Center,,
물류-택배,Support,6.0,Finance,거래처,,
물류-택배,Support,6.0,Finance,고객,,
물류-택배,Support,7.0,HR,조직,,
물류-택배,Support,7.0,HR,인사,,
물류-택배,Support,7.0,HR,교육이력,,
물류-택배,Support,7.0,HR,급여,,
물류-택배,Support,7.0,HR,성과,,
물류-택배,Support,8.0,Infrastructure,구매처,,
물류-택배,Support,8.0,Infrastructure,자산,,
물류-택배,Support,8.0,Infrastructure,거점,,
물류-택배,Support,8.0,Infrastructure,간선차량,,
test,Primary,1.0,MKT,채널,마케팅,"code, code_name"
test,Primary,1.0,MKT,캠페인,,
test,Primary,1.0,MKT,영업,,
test,Primary,1.0,MKT,계약,,"col2, col3"
test,Primary,1.0,MKT,프로모션,,"col01, col02"
test,Primary,2.0,Sales1,수주,,
test,Primary,2.0,Sales1,판매4,,
test,Primary,3.0,Services,서비스,,
test,Primary,3.0,Services,서비스3,,
