신용공여기간코드,신용공여기준일수,dt_reg,dt_adjt,폐기일자,yn_abd,처리자사번,ERP PAYMENT TERM NAME,월매트릭스구분,last_update_dtm,etl_dtm
4,140,20110512,,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
#,37,20160816,,,N,1012465,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
*,71,20191202,,,N,1410124,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
$,160,20200303,,,N,1710203,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
3,56,20110405,20141218,,N,1210473,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
A,15,20011201,20031022,,N,0211385,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
B,30,20011201,20201207,,N,1410124,,NO_1M,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
C,45,20011201,20040302,,N,7901294,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
D,50,20011201,20030512,,N,7901294,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
E,60,20011201,20200907,,N,1410124,,NO_2M,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
F,91,20011201,20201207,,N,1410124,,NO_3M,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
G,121,20011201,20201106,,N,1410124,,NO_4M,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
H,152,20011201,20200707,,N,1410124,,NO_5M,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
Z,0,20020926,20100510,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
I,183,20041223,20201207,,N,1410124,,NO_6M,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
K,135,20050330,,,N,2002002,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
J,136,20051025,20100430,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
L,35,20051101,,,N,0012600,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
M,20,20051130,20100430,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
N,167,20060117,20091006,,N,0012563,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
O,105,20060404,20100527,,N,2004904,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
P,10,20060518,20100531,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
Q,65,20060522,,,N,0012600,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
R,95,20060529,,,N,0012600,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
T,25,20060629,20161103,,N,1012465,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
S,7,20060702,20100726,,N,0410476,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
U,100,20060829,,,N,0012600,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
V,40,20061031,,,N,0012600,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
W,70,20061110,,,N,0012600,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
X,80,20080826,,,N,0710334,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
Y,75,20090401,,,N,0710334,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
6,110,20110901,,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
!,4,20190902,,,N,1410124,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
1,130,20110310,,,N,2004904,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
2,55,20110321,,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
5,5,20110526,,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
7,85,20121123,20141218,,N,1210473,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
@,3,20121123,,,N,1210473,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
8,14,20130508,,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
9,12,20150217,,,N,0710743,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
+,300,20230413,,,N,1710203,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
&,93,20210803,,,N,1410124,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
%,33,20221024,,,N,1710203,,,2023-12-26 03:35:01.218000,2023-12-26 03:35:01.218000
